,title,href,company,description,salary
0,Аналитик,https://spb.hh.ru/vacancy/54869344?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,Точка,"Помогать команде принимать решения на основе данных. Делать решения логичными и прозрачными, отслеживать результаты и делать выводы. Строить прогнозные модели...Умеешь преподнести информацию понятным языком даже для тех, кто плохо разбирается в данных. Можешь самостоятельно принимать решения на основе данных...",до 240 000 руб.
1,Аналитик данных,https://spb.hh.ru/vacancy/53491771?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,Profilance Group (ИП Страмоусов Марк Петрович),"Составлять гипотезы для улучшения определенных показателей. Готовить данные к проведению анализа: сортировать, фильтровать и делать выборку; находить закономерности. Знание Google Analytics, Яндекс.Метрики, GTM и другие хранилища данных. Владение SQL, умение самостоятельно собирать отчеты под задачи. Умение визуализировать маркетинговые...",80 000 – 90 000 руб.
2,Продуктовый аналитик,https://spb.hh.ru/vacancy/54869038?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,Siberian Wellness,"...продуктовых/маркетинговых/бизнес показателей, на основе клиентских инсайтов и гипотез, которые подкреплены данными. 20% времени - визуализация данных через BI-инструменты.Понимание основ статистики (описательная статистика, корреляционный, регрессионный анализ, стат. тесты). Строить дашборды и adhoc-отчеты; выводить данные через BI-инструменты. ",200 000 – 250 000 руб.
3,Аналитик,https://spb.hh.ru/vacancy/53483652?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,Важная рыба,"...и анализа коммерческой отчетности по заказам, выручке, прибыли и прочим коммерческим показателям, а также прогнозирования продаж на основе полученных данных. ...и конкурентного анализа. Дополнительным преимуществом будет опыт анализа маркетинговых активностей. Знакомство с системами веб-аналитики, а также визуализаторами данных типа...",80 000 – 120 000 руб.
4,Инженер по обработке данных,https://spb.hh.ru/vacancy/54896574?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,ООО Профискетч,"Разработка моделей данных. Описание требований к базам данных. Структурирование и документирование информации. Разработка систем мониторинга моделей данных. Анализ данных для...Опыт построения моделей данных. Опыт сбор, очистки и переработки данных, первичного анализа. Опыт работы с большими массивами информации. ",60 000 – 70 000 руб.
5,Аналитик данных (data analyst),https://spb.hh.ru/vacancy/54721740?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,ООО Финансово-правовой альянс,"Работа со множеством источников данных: сбор, очищение, изучение, анализ данных в корпоративной информационной среде. Визуализация полученных результатов, создание схем, диаграмм...Требуется опыт работы в анализе данных и/или разработке ПО от 1 года. Опыт разработки web-приложений для визуализации данных...",от 120 000 руб.
6,Аналитик данных,https://spb.hh.ru/vacancy/54724344?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,ООО СРО-Экспертиза,"Составлять гипотезы для улучшения определенных показателей. Готовить данные к проведению анализа: сортировать, фильтровать и делать выборку, находить закономерности. Знаете Google analytics, Яндекс Метрика, GTM и другие хранилища данных. Владеете SQL. Умение самостоятельно собирать отчеты под задачи. ",60 000 – 70 000 руб.
7,Аналитик БД/ SQL разработчик,https://spb.hh.ru/vacancy/50511711?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,BIV,"...данных (DWH). Наращивание функциональности Хранилища, рефакторинг существующей модели, доработка имеющейся модели. Контроль загрузки данных из различных источников. Управления качеством данных......баз данных и методологиях проектирования. Опыт работы с одной из промышленных СУБД (MSSQL Server, ORACLE и др.) либо хранилищ данных...",от 140 000 руб.
8,Аналитик по ценообразованию,https://spb.hh.ru/vacancy/54843861?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,Ароматный мир,"Формирование текущих и акционных цен на товары. Оценка и анализ эффективности изменений. - Анализ мониторингов полочных цен конкурентов, акций. Высшее экономическое/мат. образование. - Опыт работы от 3 лет. - Отличное знание MS Excel, желательно Access/VBA. - Умение анализировать и делать...",90 000 – 90 000 руб.
9,Старший аналитик,https://spb.hh.ru/vacancy/54927892?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,РОСЭЛ,"Расчет показателей на основе анализа статистики и других вводных данных. Совершенствование, внедрение и сопровождение системы Управления товарными запасами, в том...Экономический подход к аналитике, глубокое погружение в специфику заказов и продаж, а не просто работа с цифрами. Навыки анализа данных...",до 90 000 руб.
